"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.8.197","224.0.0.251","MDNS","103","Standard query 0x004c PTR _233637DE._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"2","7.881069091","192.168.8.197","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"3","8.188472346","192.168.8.197","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"4","8.497700060","192.168.8.197","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"5","14.429240355","fe80::c2b5:cdff:fe37:3818","ff02::1:ffcc:53dd","ICMPv6","86","Neighbor Solicitation for fe80::9263:3bff:fecc:53dd from c0:b5:cd:37:38:18"
"6","15.558906942","fe80::c2b5:cdff:fe37:3818","ff02::1:ffcc:53dd","ICMPv6","86","Neighbor Solicitation for fdc0:b5cd:3738:1800:9263:3bff:fecc:53dd from c0:b5:cd:37:38:18"
"7","15.577906513","fe80::c2b5:cdff:fe37:3818","ff02::1:ffed:7f26","ICMPv6","86","Neighbor Solicitation for fdc0:b5cd:3738:1800:d6c:dd22:73ed:7f26 from c0:b5:cd:37:38:18"
"8","17.820969091","192.168.8.197","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"9","18.126321290","192.168.8.197","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"10","18.436923791","192.168.8.197","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"11","20.073171117","192.168.8.197","224.0.0.251","MDNS","103","Standard query 0x004d PTR _233637DE._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"12","25.645989357","AzureWav_b7:5a:0f","Broadcast","ARP","60","Who has 192.168.8.181? Tell 192.168.8.124"
"13","25.646015259","PcsCompu_5c:d5:3d","AzureWav_b7:5a:0f","ARP","42","192.168.8.181 is at 08:00:27:5c:d5:3d"
"14","25.647866868","192.168.8.124","192.168.8.181","ICMP","74","Echo (ping) request  id=0x0001, seq=13/3328, ttl=128 (reply in 15)"
"15","25.647922694","192.168.8.181","192.168.8.124","ICMP","74","Echo (ping) reply    id=0x0001, seq=13/3328, ttl=64 (request in 14)"
"16","26.648894436","192.168.8.124","192.168.8.181","ICMP","74","Echo (ping) request  id=0x0001, seq=14/3584, ttl=128 (reply in 17)"
"17","26.648951626","192.168.8.181","192.168.8.124","ICMP","74","Echo (ping) reply    id=0x0001, seq=14/3584, ttl=64 (request in 16)"
"18","27.653285292","192.168.8.124","192.168.8.181","ICMP","74","Echo (ping) request  id=0x0001, seq=15/3840, ttl=128 (reply in 19)"
"19","27.653322716","192.168.8.181","192.168.8.124","ICMP","74","Echo (ping) reply    id=0x0001, seq=15/3840, ttl=64 (request in 18)"
"20","27.859598851","192.168.8.197","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"21","28.167304191","192.168.8.197","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"22","28.474424376","192.168.8.197","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"23","28.683214191","192.168.8.124","192.168.8.181","ICMP","74","Echo (ping) request  id=0x0001, seq=16/4096, ttl=128 (reply in 24)"
"24","28.683290137","192.168.8.181","192.168.8.124","ICMP","74","Echo (ping) reply    id=0x0001, seq=16/4096, ttl=64 (request in 23)"
"25","30.732247635","PcsCompu_5c:d5:3d","AzureWav_b7:5a:0f","ARP","42","Who has 192.168.8.124? Tell 192.168.8.181"
"26","30.732728018","AzureWav_b7:5a:0f","PcsCompu_5c:d5:3d","ARP","60","192.168.8.124 is at 70:66:55:b7:5a:0f"
"27","37.900316043","192.168.8.197","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"28","38.207122077","192.168.8.197","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"29","38.514471878","192.168.8.197","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"30","40.050880447","192.168.8.197","224.0.0.251","MDNS","103","Standard query 0x004e PTR _233637DE._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"31","40.945365693","HuaweiDe_37:38:18","AzureWav_b7:5a:0f","ARP","60","192.168.8.1 is at c0:b5:cd:37:38:18"
"32","43.795318469","192.168.8.181","192.168.8.1","DNS","78","Standard query 0x9106 A plugins.nessus.org"
"33","43.795476104","192.168.8.181","192.168.8.1","DNS","78","Standard query 0x3203 AAAA plugins.nessus.org"
"34","43.806182416","192.168.8.1","192.168.8.181","DNS","174","Standard query response 0x9106 A plugins.nessus.org CNAME pds-geo.lb.tenablesecurity.com CNAME plugins.cloud.tenable.com A 52.17.55.52"
"35","43.806182515","192.168.8.1","192.168.8.181","DNS","186","Standard query response 0x3203 AAAA plugins.nessus.org CNAME pds-geo.lb.tenablesecurity.com CNAME plugins.cloud.tenable.com AAAA 2c0f:fa18:0:10::3411:3734"
"36","43.808367822","192.168.8.181","52.17.55.52","TCP","74","51820  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1241297369 TSecr=0 WS=128"
"37","43.957127024","52.17.55.52","192.168.8.181","TCP","74","443  >  51820 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1400 SACK_PERM=1 TSval=3456225947 TSecr=1241297369 WS=512"
"38","43.957254657","192.168.8.181","52.17.55.52","TCP","66","51820  >  443 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1241297518 TSecr=3456225947"
"39","43.965173563","192.168.8.181","52.17.55.52","TLSv1.2","583","Client Hello"
"40","44.189966939","52.17.55.52","192.168.8.181","TLSv1.2","1454","Server Hello"
"41","44.190222428","192.168.8.181","52.17.55.52","TCP","66","51820  >  443 [ACK] Seq=518 Ack=1389 Win=64128 Len=0 TSval=1241297750 TSecr=3456226164"
"42","44.189967029","52.17.55.52","192.168.8.181","TCP","1373","[TCP Previous segment not captured] 443  >  51820 [PSH, ACK] Seq=2777 Ack=518 Win=30208 Len=1307 TSval=3456226164 TSecr=1241297526 [TCP segment of a reassembled PDU], Server Key Exchange, Server Hello Done"
"43","44.190333503","192.168.8.181","52.17.55.52","TCP","78","[TCP Dup ACK 41#1] 51820  >  443 [ACK] Seq=518 Ack=1389 Win=64128 Len=0 TSval=1241297751 TSecr=3456226164 SLE=2777 SRE=4084"
"44","44.336289747","52.17.55.52","192.168.8.181","TCP","1454","[TCP Out-Of-Order] 443  >  51820 [ACK] Seq=1389 Ack=518 Win=30208 Len=1388 TSval=3456226379 TSecr=1241297751"
"45","44.336411525","192.168.8.181","52.17.55.52","TCP","66","51820  >  443 [ACK] Seq=518 Ack=4084 Win=63360 Len=0 TSval=1241297897 TSecr=3456226379"
"46","44.343795977","192.168.8.181","52.17.55.52","TLSv1.2","192","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"47","44.808803498","192.168.8.181","52.17.55.52","TCP","192","[TCP Retransmission] 51820  >  443 [PSH, ACK] Seq=518 Ack=4084 Win=64128 Len=126 TSval=1241298369 TSecr=3456226379"
"48","44.886615917","52.17.55.52","192.168.8.181","TLSv1.2","324","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"49","44.886660237","192.168.8.181","52.17.55.52","TCP","66","51820  >  443 [ACK] Seq=644 Ack=4342 Win=64128 Len=0 TSval=1241298447 TSecr=3456226922"
"50","44.888389675","192.168.8.181","52.17.55.52","TLSv1.2","538","Application Data"
"51","44.978430300","52.17.55.52","192.168.8.181","TCP","78","[TCP Dup ACK 48#1] 443  >  51820 [ACK] Seq=4342 Ack=644 Win=30208 Len=0 TSval=3456226966 TSecr=1241298369 SLE=518 SRE=644"
"52","45.513089733","192.168.8.181","52.17.55.52","TLSv1.2","704","Application Data"
"53","45.637016944","52.17.55.52","192.168.8.181","TCP","66","[TCP Previous segment not captured] 443  >  51820 [FIN, ACK] Seq=4655 Ack=1754 Win=32768 Len=0 TSval=3456227682 TSecr=1241299074"
"54","45.637176595","192.168.8.181","52.17.55.52","TCP","78","[TCP Dup ACK 49#1] 51820  >  443 [ACK] Seq=1754 Ack=4342 Win=64128 Len=0 TSval=1241299198 TSecr=3456226966 SLE=4655 SRE=4656"
"55","45.646807081","52.17.55.52","192.168.8.181","TCP","379","[TCP Out-Of-Order] 443  >  51820 [PSH, ACK] Seq=4342 Ack=1754 Win=32768 Len=313 TSval=3456227682 TSecr=1241299074"
"56","45.646935178","192.168.8.181","52.17.55.52","TCP","66","51820  >  443 [ACK] Seq=1754 Ack=4656 Win=64128 Len=0 TSval=1241299207 TSecr=3456227682"
"57","45.647932749","192.168.8.181","52.17.55.52","TCP","66","51820  >  443 [RST, ACK] Seq=1754 Ack=4656 Win=64128 Len=0 TSval=1241299208 TSecr=3456227682"
"58","47.837429608","192.168.8.197","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"59","48.144905985","192.168.8.197","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"60","48.452593436","192.168.8.197","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"61","48.809536108","HuaweiDe_37:38:18","Broadcast","ARP","60","Who has 192.168.8.181? Tell 192.168.8.1"
"62","48.809556487","PcsCompu_5c:d5:3d","HuaweiDe_37:38:18","ARP","42","192.168.8.181 is at 08:00:27:5c:d5:3d"
"63","49.866185088","HuaweiDe_37:38:18","Broadcast","ARP","60","Who has 192.168.8.124? Tell 192.168.8.1"
"64","53.873720037","192.168.8.181","192.168.8.1","DNS","78","Standard query 0xe1db A plugins.nessus.org"
"65","53.890759343","192.168.8.1","192.168.8.181","DNS","174","Standard query response 0xe1db A plugins.nessus.org CNAME pds-geo.lb.tenablesecurity.com CNAME plugins.cloud.tenable.com A 52.17.55.52"
"66","53.893358003","192.168.8.181","192.168.8.1","DNS","78","Standard query 0x3ebb A plugins.nessus.org"
"67","53.893500843","192.168.8.181","192.168.8.1","DNS","78","Standard query 0xaec5 AAAA plugins.nessus.org"
"68","53.900798621","192.168.8.1","192.168.8.181","DNS","174","Standard query response 0x3ebb A plugins.nessus.org CNAME pds-geo.lb.tenablesecurity.com CNAME plugins.cloud.tenable.com A 52.17.55.52"
"69","53.900798768","192.168.8.1","192.168.8.181","DNS","186","Standard query response 0xaec5 AAAA plugins.nessus.org CNAME pds-geo.lb.tenablesecurity.com CNAME plugins.cloud.tenable.com AAAA 2c0f:fa18:0:10::3411:3734"
"70","53.901732275","192.168.8.181","52.17.55.52","TCP","74","51822  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1241307462 TSecr=0 WS=128"
"71","54.031775463","52.17.55.52","192.168.8.181","TCP","74","443  >  51822 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1400 SACK_PERM=1 TSval=3456236036 TSecr=1241307462 WS=512"
"72","54.031907916","192.168.8.181","52.17.55.52","TCP","66","51822  >  443 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1241307592 TSecr=3456236036"
"73","54.050009173","192.168.8.181","52.17.55.52","TLSv1.2","583","Client Hello"
"74","54.191368886","52.17.55.52","192.168.8.181","TLSv1.2","1454","[TCP Previous segment not captured] , Ignored Unknown Record"
"75","54.191406739","192.168.8.181","52.17.55.52","TCP","78","[TCP Dup ACK 72#1] 51822  >  443 [ACK] Seq=518 Ack=1 Win=64256 Len=0 TSval=1241307752 TSecr=3456236036 SLE=1389 SRE=2777"
"76","55.412455975","52.17.55.52","192.168.8.181","TCP","1454","[TCP Retransmission] 443  >  51822 [ACK] Seq=1 Ack=518 Win=30208 Len=1388 TSval=3456237430 TSecr=1241307752"
"77","55.412577639","192.168.8.181","52.17.55.52","TCP","66","51822  >  443 [ACK] Seq=518 Ack=2777 Win=63360 Len=0 TSval=1241308973 TSecr=3456237430"
"78","56.204109376","52.17.55.52","192.168.8.181","TLSv1.2","1373","Ignored Unknown Record"
"79","56.204160922","192.168.8.181","52.17.55.52","TCP","66","51822  >  443 [ACK] Seq=518 Ack=4084 Win=64128 Len=0 TSval=1241309765 TSecr=3456237890"
"80","56.205921154","192.168.8.181","52.17.55.52","TLSv1.2","192","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"81","56.413899045","52.17.55.52","192.168.8.181","TLSv1.2","324","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"82","56.413941448","192.168.8.181","52.17.55.52","TCP","66","51822  >  443 [ACK] Seq=644 Ack=4342 Win=64128 Len=0 TSval=1241309974 TSecr=3456238371"
"83","56.414583175","192.168.8.181","52.17.55.52","TLSv1.2","793","Application Data"
"84","56.592100341","52.17.55.52","192.168.8.181","TLSv1.2","589","Application Data"
"85","56.592238507","192.168.8.181","52.17.55.52","TCP","66","51822  >  443 [ACK] Seq=1371 Ack=4865 Win=64128 Len=0 TSval=1241310153 TSecr=3456238578"
"86","56.592100470","52.17.55.52","192.168.8.181","TLSv1.2","97","Encrypted Alert"
"87","56.596648610","192.168.8.181","52.17.55.52","TCP","66","51822  >  443 [RST, ACK] Seq=1371 Ack=4897 Win=64128 Len=0 TSval=1241310157 TSecr=3456238578"
"88","56.653998182","192.168.8.181","192.168.8.1","DNS","78","Standard query 0xe05e A plugins.nessus.org"
"89","56.672550870","192.168.8.1","192.168.8.181","DNS","174","Standard query response 0xe05e A plugins.nessus.org CNAME pds-geo.lb.tenablesecurity.com CNAME plugins.cloud.tenable.com A 52.17.55.52"
"90","56.674557946","192.168.8.181","192.168.8.1","DNS","78","Standard query 0x96cf A plugins.nessus.org"
"91","56.674709091","192.168.8.181","192.168.8.1","DNS","78","Standard query 0x29cc AAAA plugins.nessus.org"
